[2025-07-25 19:30:47] Episode   63 | Reward:   402.64 | Makespan:   1.91 | LoadBalance: 1.052 | Success: 1.00 | Duration: 0.60s
[2025-07-25 19:30:48] Episode   64 | Reward:   303.58 | Makespan:   2.05 | LoadBalance: 1.026 | Success: 1.00 | Duration: 0.53s
[2025-07-25 19:30:48] Episode   65 | Reward:   353.17 | Makespan:   1.83 | LoadBalance: 1.041 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:30:49] Episode   66 | Reward:   331.40 | Makespan:   2.03 | LoadBalance: 1.026 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:30:49] Episode   67 | Reward:   330.25 | Makespan:   2.25 | LoadBalance: 0.981 | Success: 1.00 | Duration: 0.52s
[2025-07-25 19:30:50] Episode   68 | Reward:   321.59 | Makespan:   2.26 | LoadBalance: 1.002 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:30:51] Episode   69 | Reward:   339.36 | Makespan:   1.92 | LoadBalance: 1.040 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:30:51] Episode   70 | Reward:   368.33 | Makespan:   2.10 | LoadBalance: 1.060 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:30:52] Episode   71 | Reward:   328.45 | Makespan:   2.41 | LoadBalance: 1.011 | Success: 1.00 | Duration: 0.53s
[2025-07-25 19:30:52] Episode   72 | Reward:   377.12 | Makespan:   2.45 | LoadBalance: 1.052 | Success: 1.00 | Duration: 0.60s
[2025-07-25 19:30:53] Episode   73 | Reward:   345.30 | Makespan:   2.02 | LoadBalance: 1.035 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:30:53] Episode   74 | Reward:   372.22 | Makespan:   2.09 | LoadBalance: 1.026 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:30:54] Episode   75 | Reward:   344.89 | Makespan:   2.31 | LoadBalance: 1.022 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:30:55] Episode   76 | Reward:   364.97 | Makespan:   2.46 | LoadBalance: 1.069 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:30:55] Episode   77 | Reward:   395.80 | Makespan:   1.81 | LoadBalance: 1.023 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:30:56] Episode   78 | Reward:   351.58 | Makespan:   2.32 | LoadBalance: 1.066 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:30:56] Episode   79 | Reward:   412.29 | Makespan:   2.27 | LoadBalance: 1.068 | Success: 1.00 | Duration: 0.59s
[2025-07-25 19:30:57] Episode   80 | Reward:   426.18 | Makespan:   2.52 | LoadBalance: 1.109 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:30:57] Episode   81 | Reward:   375.16 | Makespan:   2.15 | LoadBalance: 1.055 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:30:58] Episode   82 | Reward:   360.73 | Makespan:   1.71 | LoadBalance: 1.024 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:30:59] Episode   83 | Reward:   385.63 | Makespan:   2.31 | LoadBalance: 1.073 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:30:59] Episode   84 | Reward:   353.23 | Makespan:   1.93 | LoadBalance: 1.022 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:31:00] Episode   85 | Reward:   356.77 | Makespan:   2.30 | LoadBalance: 1.024 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:31:00] Episode   86 | Reward:   357.58 | Makespan:   2.09 | LoadBalance: 1.047 | Success: 1.00 | Duration: 0.55s
