
================================================================================
Enhanced HD-DDPG Medical Workflow Scheduling Training Log
Training Start Time: 2025-09-10 14:02:28
Experiment Directory: optimized_model_result\hd_ddpg_enhanced_comm05
Training Mode: HIGH_PERFORMANCE_ENHANCED with Advanced Features
================================================================================
[2025-09-10 14:03:28] Ep   84 | R:  1642.39 | MS:   2.08 | SR: 0.20 | ST: 0.773 | LR: 0.000166 | T: 0.78s
[2025-09-10 14:03:28] Ep   85 | R:  1484.79 | MS:   1.74 | SR: 0.40 | ST: 0.825 | LR: 0.000166 | T: 0.73s
[2025-09-10 14:03:29] Ep   86 | R:  1534.48 | MS:   1.78 | SR: 0.60 | ST: 0.801 | LR: 0.000166 | T: 0.76s
[2025-09-10 14:03:30] Ep   87 | R:  1670.86 | MS:   3.29 | SR: 0.20 | ST: 0.750 | LR: 0.000166 | T: 0.88s
[2025-09-10 14:03:31] Ep   88 | R:  1264.68 | MS:   1.87 | SR: 0.40 | ST: 0.758 | LR: 0.000166 | T: 0.72s
[2025-09-10 14:03:32] Ep   89 | R:  1305.76 | MS:   3.67 | SR: 0.00 | ST: 0.665 | LR: 0.000166 | T: 0.76s
[2025-09-10 14:03:32] Ep   90 | R:  1464.80 | MS:   2.09 | SR: 0.40 | ST: 0.662 | LR: 0.000166 | T: 0.76s
[2025-09-10 14:03:33] Ep   91 | R:  1529.89 | MS:   3.93 | SR: 0.00 | ST: 0.578 | LR: 0.000166 | T: 0.82s
[2025-09-10 14:03:34] Ep   92 | R:  1658.12 | MS:   1.96 | SR: 0.40 | ST: 0.572 | LR: 0.000166 | T: 0.77s
[2025-09-10 14:03:35] Ep   93 | R:  1133.35 | MS:   4.01 | SR: 0.00 | ST: 0.539 | LR: 0.000166 | T: 0.80s
[2025-09-10 14:03:35] Ep   94 | R:  1268.48 | MS:   2.57 | SR: 0.40 | ST: 0.582 | LR: 0.000166 | T: 0.74s
[2025-09-10 14:03:36] Ep   95 | R:  1499.39 | MS:   1.99 | SR: 0.60 | ST: 0.560 | LR: 0.000166 | T: 0.77s
[2025-09-10 14:03:37] Ep   96 | R:  1612.02 | MS:   2.21 | SR: 0.20 | ST: 0.580 | LR: 0.000166 | T: 0.76s
[2025-09-10 14:03:38] Ep   97 | R:  1713.67 | MS:   2.55 | SR: 0.00 | ST: 0.618 | LR: 0.000166 | T: 0.86s
[2025-09-10 14:03:39] Ep   98 | R:  1148.29 | MS:   2.01 | SR: 0.60 | ST: 0.614 | LR: 0.000166 | T: 0.66s
[2025-09-10 14:03:39] Ep   99 | R:  1349.03 | MS:   1.82 | SR: 0.40 | ST: 0.694 | LR: 0.000166 | T: 0.73s
[2025-09-10 14:03:39] CURRICULUM Ep  100 | Phase: 2 | Workflows: 6 | Tasks: 7-11 | Level: medium
[2025-09-10 14:03:40] LR_UPDATE Ep  100 | Old: 0.000166 | New: 0.000162 | Change: -2.00%
[2025-09-10 14:03:40] Ep  100 | R:  1424.53 | MS:   2.21 | SR: 0.67 | ST: 0.704 | LR: 0.000162 | T: 0.76s
[2025-09-10 14:03:40] === Evaluation Episode 100 ===
[2025-09-10 14:03:42] Ep  101 | R:  1846.89 | MS:   2.55 | SR: 0.17 | ST: 0.931 | LR: 0.000162 | T: 0.87s
[2025-09-10 14:03:43] Ep  102 | R:  1566.29 | MS:   1.84 | SR: 0.33 | ST: 0.934 | LR: 0.000162 | T: 0.81s
[2025-09-10 14:03:44] Ep  103 | R:  1336.99 | MS:   3.96 | SR: 0.17 | ST: 0.917 | LR: 0.000162 | T: 0.92s
[2025-09-10 14:03:45] Ep  104 | R:  1195.26 | MS:   3.56 | SR: 0.00 | ST: 0.879 | LR: 0.000162 | T: 0.84s
[2025-09-10 14:03:45] LR_UPDATE Ep  105 | Old: 0.000162 | New: 0.000162 | Change: -0.50%
[2025-09-10 14:03:45] Ep  105 | R:  1455.76 | MS:   2.56 | SR: 0.17 | ST: 0.879 | LR: 0.000162 | T: 0.82s
[2025-09-10 14:03:46] Ep  106 | R:  1196.01 | MS:   2.16 | SR: 0.33 | ST: 0.886 | LR: 0.000162 | T: 0.68s
[2025-09-10 14:03:47] Ep  107 | R:  1630.52 | MS:   3.14 | SR: 0.00 | ST: 0.869 | LR: 0.000162 | T: 0.93s
[2025-09-10 14:03:48] Ep  108 | R:  2032.29 | MS:   1.67 | SR: 0.33 | ST: 0.855 | LR: 0.000162 | T: 0.84s
[2025-09-10 14:03:49] Ep  109 | R:  2134.92 | MS:   2.27 | SR: 0.33 | ST: 0.853 | LR: 0.000162 | T: 0.91s
[2025-09-10 14:03:50] Ep  110 | R:  1852.58 | MS:   1.69 | SR: 0.67 | ST: 0.835 | LR: 0.000162 | T: 0.80s
[2025-09-10 14:03:50] Ep  111 | R:  1366.20 | MS:   2.99 | SR: 0.17 | ST: 0.812 | LR: 0.000162 | T: 0.80s
[2025-09-10 14:03:51] Ep  112 | R:  1479.28 | MS:   3.31 | SR: 0.33 | ST: 0.771 | LR: 0.000162 | T: 0.81s
[2025-09-10 14:03:52] Ep  113 | R:  1701.02 | MS:   1.84 | SR: 0.50 | ST: 0.743 | LR: 0.000162 | T: 0.81s
[2025-09-10 14:03:53] Ep  114 | R:  1925.23 | MS:   2.36 | SR: 0.50 | ST: 0.748 | LR: 0.000162 | T: 0.83s
[2025-09-10 14:03:54] Ep  115 | R:  2312.40 | MS:   2.10 | SR: 0.17 | ST: 0.783 | LR: 0.000162 | T: 0.94s
[2025-09-10 14:03:55] Ep  116 | R:  1665.29 | MS:   2.76 | SR: 0.33 | ST: 0.781 | LR: 0.000162 | T: 0.87s
[2025-09-10 14:03:55] Ep  117 | R:  1429.66 | MS:   1.78 | SR: 0.67 | ST: 0.755 | LR: 0.000162 | T: 0.76s
[2025-09-10 14:03:56] Ep  118 | R:  1525.77 | MS:   3.27 | SR: 0.17 | ST: 0.780 | LR: 0.000162 | T: 0.87s
[2025-09-10 14:03:57] Ep  119 | R:  1895.78 | MS:   2.27 | SR: 0.50 | ST: 0.799 | LR: 0.000162 | T: 0.90s
[2025-09-10 14:03:58] Ep  120 | R:  1659.61 | MS:   3.17 | SR: 0.17 | ST: 0.818 | LR: 0.000162 | T: 0.84s
[2025-09-10 14:03:59] Ep  121 | R:  1806.24 | MS:   2.12 | SR: 0.50 | ST: 0.840 | LR: 0.000162 | T: 0.79s
[2025-09-10 14:04:00] Ep  122 | R:  2222.66 | MS:   1.78 | SR: 0.50 | ST: 0.807 | LR: 0.000162 | T: 0.87s
[2025-09-10 14:04:01] Ep  123 | R:  1502.77 | MS:   3.56 | SR: 0.00 | ST: 0.726 | LR: 0.000162 | T: 0.94s
[2025-09-10 14:04:01] Ep  124 | R:  1702.70 | MS:   2.51 | SR: 0.50 | ST: 0.730 | LR: 0.000162 | T: 0.85s
[2025-09-10 14:04:02] Ep  125 | R:  1586.38 | MS:   2.62 | SR: 0.17 | ST: 0.772 | LR: 0.000162 | T: 0.85s
[2025-09-10 14:04:03] Ep  126 | R:  1685.80 | MS:   2.07 | SR: 0.33 | ST: 0.762 | LR: 0.000162 | T: 0.78s
[2025-09-10 14:04:04] Ep  127 | R:  1293.48 | MS:   2.03 | SR: 0.50 | ST: 0.750 | LR: 0.000162 | T: 0.72s
[2025-09-10 14:04:05] Ep  128 | R:  2031.67 | MS:   2.14 | SR: 0.17 | ST: 0.787 | LR: 0.000162 | T: 0.92s
[2025-09-10 14:04:06] Ep  129 | R:  1548.03 | MS:   2.82 | SR: 0.33 | ST: 0.779 | LR: 0.000162 | T: 0.83s
[2025-09-10 14:04:07] LR_UPDATE Ep  130 | Old: 0.000162 | New: 0.000161 | Change: -0.50%
[2025-09-10 14:04:07] Ep  130 | R:  2099.16 | MS:   2.53 | SR: 0.00 | ST: 0.818 | LR: 0.000161 | T: 0.95s
[2025-09-10 14:04:07] Ep  131 | R:  1983.21 | MS:   2.69 | SR: 0.33 | ST: 0.925 | LR: 0.000161 | T: 0.89s
[2025-09-10 14:04:08] Ep  132 | R:  1762.67 | MS:   2.69 | SR: 0.17 | ST: 0.919 | LR: 0.000161 | T: 0.83s
[2025-09-10 14:04:09] Ep  133 | R:  1581.42 | MS:   2.94 | SR: 0.33 | ST: 0.898 | LR: 0.000161 | T: 0.88s
[2025-09-10 14:04:10] Ep  134 | R:  1894.50 | MS:   2.66 | SR: 0.33 | ST: 0.918 | LR: 0.000161 | T: 0.84s
[2025-09-10 14:04:11] Ep  135 | R:  1774.23 | MS:   1.41 | SR: 0.50 | ST: 0.950 | LR: 0.000161 | T: 0.77s
[2025-09-10 14:04:12] Ep  136 | R:  1933.54 | MS:   2.48 | SR: 0.33 | ST: 0.976 | LR: 0.000161 | T: 0.90s
[2025-09-10 14:04:12] Ep  137 | R:  1242.47 | MS:   2.94 | SR: 0.33 | ST: 0.970 | LR: 0.000161 | T: 0.77s
[2025-09-10 14:04:13] Ep  138 | R:  2014.49 | MS:   2.24 | SR: 0.67 | ST: 0.952 | LR: 0.000161 | T: 0.84s
[2025-09-10 14:04:14] Ep  139 | R:  1849.20 | MS:   2.78 | SR: 0.33 | ST: 0.950 | LR: 0.000161 | T: 0.89s
[2025-09-10 14:04:15] Ep  140 | R:  1913.56 | MS:   2.97 | SR: 0.17 | ST: 0.940 | LR: 0.000161 | T: 0.89s
[2025-09-10 14:04:16] Ep  141 | R:  1772.75 | MS:   2.74 | SR: 0.50 | ST: 0.947 | LR: 0.000161 | T: 0.84s
[2025-09-10 14:04:17] Ep  142 | R:  1477.73 | MS:   2.45 | SR: 0.17 | ST: 0.943 | LR: 0.000161 | T: 0.80s
[2025-09-10 14:04:18] Ep  143 | R:  2083.32 | MS:   2.51 | SR: 0.50 | ST: 0.945 | LR: 0.000161 | T: 0.89s
[2025-09-10 14:04:18] Ep  144 | R:  2145.63 | MS:   2.15 | SR: 0.17 | ST: 0.923 | LR: 0.000161 | T: 0.88s
[2025-09-10 14:04:19] Ep  145 | R:  1745.58 | MS:   1.38 | SR: 0.67 | ST: 0.911 | LR: 0.000161 | T: 0.77s
[2025-09-10 14:04:20] Ep  146 | R:  1654.38 | MS:   2.41 | SR: 0.33 | ST: 0.916 | LR: 0.000161 | T: 0.82s
[2025-09-10 14:04:21] Ep  147 | R:  1474.14 | MS:   2.52 | SR: 0.33 | ST: 0.925 | LR: 0.000161 | T: 0.78s
[2025-09-10 14:04:22] Ep  148 | R:  1499.82 | MS:   3.10 | SR: 0.17 | ST: 0.946 | LR: 0.000161 | T: 0.82s
[2025-09-10 14:04:23] Ep  149 | R:  2314.32 | MS:   1.42 | SR: 0.50 | ST: 0.929 | LR: 0.000161 | T: 0.87s
[2025-09-10 14:04:23] CURRICULUM Ep  150 | Phase: 3 | Workflows: 7 | Tasks: 9-13 | Level: hard
[2025-09-10 14:04:24] LR_UPDATE Ep  150 | Old: 0.000161 | New: 0.000158 | Change: -2.00%
