[2025-07-25 23:29:14] Episode   93 | Reward:   252.85 | Makespan:   2.04 | LoadBalance: 0.954 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:14] Episode   94 | Reward:   250.09 | Makespan:   2.36 | LoadBalance: 0.930 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:15] Episode   95 | Reward:   288.77 | Makespan:   2.28 | LoadBalance: 0.921 | Success: 1.00 | Duration: 0.56s
[2025-07-25 23:29:15] Episode   96 | Reward:   229.82 | Makespan:   2.27 | LoadBalance: 0.932 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:16] Episode   97 | Reward:   288.37 | Makespan:   2.15 | LoadBalance: 0.974 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:17] Episode   98 | Reward:   304.77 | Makespan:   2.90 | LoadBalance: 0.950 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:29:17] Episode   99 | Reward:   245.70 | Makespan:   2.15 | LoadBalance: 0.922 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:29:18] Episode  100 | Reward:   311.81 | Makespan:   2.13 | LoadBalance: 0.923 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:29:18] Episode  101 | Reward:   293.22 | Makespan:   2.34 | LoadBalance: 0.985 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:19] Episode  102 | Reward:   244.40 | Makespan:   2.00 | LoadBalance: 0.940 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:20] Episode  103 | Reward:   355.28 | Makespan:   1.88 | LoadBalance: 0.935 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:29:20] Episode  104 | Reward:   309.52 | Makespan:   2.24 | LoadBalance: 0.948 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:21] Episode  105 | Reward:   257.20 | Makespan:   2.42 | LoadBalance: 0.940 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:22] Episode  106 | Reward:   262.10 | Makespan:   2.39 | LoadBalance: 0.918 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:29:22] Episode  107 | Reward:   309.53 | Makespan:   2.24 | LoadBalance: 0.940 | Success: 1.00 | Duration: 0.65s
[2025-07-25 23:29:23] Episode  108 | Reward:   317.69 | Makespan:   2.14 | LoadBalance: 0.989 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:29:23] Episode  109 | Reward:   279.08 | Makespan:   2.00 | LoadBalance: 0.979 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:24] Episode  110 | Reward:   262.71 | Makespan:   2.31 | LoadBalance: 0.948 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:29:25] Episode  111 | Reward:   240.37 | Makespan:   1.96 | LoadBalance: 0.926 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:29:25] Episode  112 | Reward:   266.33 | Makespan:   1.90 | LoadBalance: 0.934 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:26] Episode  113 | Reward:   356.68 | Makespan:   1.52 | LoadBalance: 0.919 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:29:26] Episode  114 | Reward:   306.91 | Makespan:   2.26 | LoadBalance: 0.928 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:27] Episode  115 | Reward:   332.23 | Makespan:   2.13 | LoadBalance: 0.972 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:29:27] Episode  116 | Reward:   281.14 | Makespan:   1.87 | LoadBalance: 0.977 | Success: 1.00 | Duration: 0.55s
[2025-07-25 23:29:28] Episode  117 | Reward:   258.17 | Makespan:   1.89 | LoadBalance: 0.915 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:29:29] Episode  118 | Reward:   288.75 | Makespan:   2.55 | LoadBalance: 0.937 | Success: 1.00 | Duration: 0.64s
[2025-07-25 23:29:29] Episode  119 | Reward:   344.81 | Makespan:   2.32 | LoadBalance: 0.956 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:30] Episode  120 | Reward:   266.63 | Makespan:   2.03 | LoadBalance: 0.902 | Success: 1.00 | Duration: 0.56s
[2025-07-25 23:29:30] Episode  121 | Reward:   315.48 | Makespan:   1.94 | LoadBalance: 0.956 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:29:31] Episode  122 | Reward:   233.75 | Makespan:   1.95 | LoadBalance: 0.922 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:29:32] Episode  123 | Reward:   297.07 | Makespan:   2.56 | LoadBalance: 0.948 | Success: 1.00 | Duration: 0.64s
[2025-07-25 23:29:32] Episode  124 | Reward:   288.46 | Makespan:   2.05 | LoadBalance: 0.931 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:33] Episode  125 | Reward:   336.49 | Makespan:   1.91 | LoadBalance: 1.007 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:33] Episode  126 | Reward:   273.03 | Makespan:   2.38 | LoadBalance: 0.942 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:34] Episode  127 | Reward:   313.52 | Makespan:   2.08 | LoadBalance: 0.905 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:35] Episode  128 | Reward:   307.28 | Makespan:   2.16 | LoadBalance: 0.952 | Success: 1.00 | Duration: 0.70s
[2025-07-25 23:29:35] Episode  129 | Reward:   245.72 | Makespan:   2.02 | LoadBalance: 0.942 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:29:36] Episode  130 | Reward:   322.41 | Makespan:   2.11 | LoadBalance: 0.933 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:29:37] Episode  131 | Reward:   288.23 | Makespan:   1.92 | LoadBalance: 0.940 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:37] Episode  132 | Reward:   233.67 | Makespan:   2.12 | LoadBalance: 0.932 | Success: 1.00 | Duration: 0.64s
[2025-07-25 23:29:38] Episode  133 | Reward:   284.69 | Makespan:   2.53 | LoadBalance: 0.912 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:29:38] Episode  134 | Reward:   274.03 | Makespan:   2.09 | LoadBalance: 0.942 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:39] Episode  135 | Reward:   303.44 | Makespan:   2.41 | LoadBalance: 0.954 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:40] Episode  136 | Reward:   271.15 | Makespan:   1.90 | LoadBalance: 0.947 | Success: 1.00 | Duration: 0.61s
