[2025-07-25 19:23:41] Episode   60 | Reward:   187.63 | Makespan:   1.51 | LoadBalance: 1.013 | Success: 1.00 | Duration: 0.43s
[2025-07-25 19:23:42] Episode   61 | Reward:   169.81 | Makespan:   1.50 | LoadBalance: 0.988 | Success: 1.00 | Duration: 0.41s
[2025-07-25 19:23:42] Episode   62 | Reward:   233.41 | Makespan:   1.14 | LoadBalance: 1.023 | Success: 1.00 | Duration: 0.52s
[2025-07-25 19:23:43] Episode   63 | Reward:   129.17 | Makespan:   1.08 | LoadBalance: 1.000 | Success: 1.00 | Duration: 0.41s
[2025-07-25 19:23:43] Episode   64 | Reward:   150.25 | Makespan:   1.03 | LoadBalance: 1.030 | Success: 1.00 | Duration: 0.51s
[2025-07-25 19:23:44] Episode   65 | Reward:   139.82 | Makespan:   1.26 | LoadBalance: 0.962 | Success: 1.00 | Duration: 0.48s
[2025-07-25 19:23:44] Episode   66 | Reward:   179.31 | Makespan:   1.76 | LoadBalance: 1.019 | Success: 1.00 | Duration: 0.48s
[2025-07-25 19:23:45] Episode   67 | Reward:   176.75 | Makespan:   1.61 | LoadBalance: 1.014 | Success: 1.00 | Duration: 0.53s
[2025-07-25 19:23:45] Episode   68 | Reward:   173.18 | Makespan:   1.45 | LoadBalance: 1.050 | Success: 1.00 | Duration: 0.47s
[2025-07-25 19:23:46] Episode   69 | Reward:   188.61 | Makespan:   1.80 | LoadBalance: 1.082 | Success: 1.00 | Duration: 0.47s
[2025-07-25 19:23:46] Episode   70 | Reward:   162.56 | Makespan:   1.20 | LoadBalance: 0.998 | Success: 1.00 | Duration: 0.48s
[2025-07-25 19:23:47] Episode   71 | Reward:   204.99 | Makespan:   0.92 | LoadBalance: 1.030 | Success: 1.00 | Duration: 0.46s
[2025-07-25 19:23:47] Episode   72 | Reward:   139.60 | Makespan:   1.12 | LoadBalance: 0.975 | Success: 1.00 | Duration: 0.59s
[2025-07-25 19:23:48] Episode   73 | Reward:   134.10 | Makespan:   1.03 | LoadBalance: 1.016 | Success: 1.00 | Duration: 0.41s
[2025-07-25 19:23:48] Episode   74 | Reward:   192.82 | Makespan:   1.52 | LoadBalance: 1.058 | Success: 1.00 | Duration: 0.48s
[2025-07-25 19:23:49] Episode   75 | Reward:   180.69 | Makespan:   1.33 | LoadBalance: 1.004 | Success: 1.00 | Duration: 0.50s
[2025-07-25 19:23:49] Episode   76 | Reward:   190.79 | Makespan:   1.56 | LoadBalance: 1.051 | Success: 1.00 | Duration: 0.50s
[2025-07-25 19:23:50] Episode   77 | Reward:   186.41 | Makespan:   1.76 | LoadBalance: 1.014 | Success: 1.00 | Duration: 0.51s
[2025-07-25 19:23:50] Episode   78 | Reward:   211.36 | Makespan:   1.65 | LoadBalance: 1.035 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:23:51] Episode   79 | Reward:   163.90 | Makespan:   1.59 | LoadBalance: 1.022 | Success: 1.00 | Duration: 0.63s
[2025-07-25 19:23:51] Episode   80 | Reward:   177.24 | Makespan:   1.29 | LoadBalance: 1.058 | Success: 1.00 | Duration: 0.52s
[2025-07-25 19:23:53] Episode   81 | Reward:   151.89 | Makespan:   1.31 | LoadBalance: 1.006 | Success: 1.00 | Duration: 0.52s
[2025-07-25 19:23:53] Episode   82 | Reward:   220.33 | Makespan:   1.61 | LoadBalance: 1.044 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:23:54] Episode   83 | Reward:   127.91 | Makespan:   1.53 | LoadBalance: 0.972 | Success: 1.00 | Duration: 0.49s
[2025-07-25 19:23:54] Episode   84 | Reward:   167.06 | Makespan:   1.49 | LoadBalance: 1.021 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:23:55] Episode   85 | Reward:   193.55 | Makespan:   1.85 | LoadBalance: 1.019 | Success: 1.00 | Duration: 0.54s
[2025-07-25 19:23:55] Episode   86 | Reward:   210.35 | Makespan:   1.76 | LoadBalance: 1.036 | Success: 1.00 | Duration: 0.61s
[2025-07-25 19:23:56] Episode   87 | Reward:   187.24 | Makespan:   1.51 | LoadBalance: 1.074 | Success: 1.00 | Duration: 0.50s
[2025-07-25 19:23:57] Episode   88 | Reward:   214.26 | Makespan:   1.76 | LoadBalance: 1.027 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:23:57] Episode   89 | Reward:   198.76 | Makespan:   1.59 | LoadBalance: 0.997 | Success: 1.00 | Duration: 0.51s
[2025-07-25 19:23:58] Episode   90 | Reward:   205.03 | Makespan:   1.50 | LoadBalance: 1.022 | Success: 1.00 | Duration: 0.52s
[2025-07-25 19:23:58] Episode   91 | Reward:   159.08 | Makespan:   1.47 | LoadBalance: 0.980 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:23:59] Episode   92 | Reward:   210.86 | Makespan:   1.73 | LoadBalance: 1.060 | Success: 1.00 | Duration: 0.68s
[2025-07-25 19:23:59] Episode   93 | Reward:   165.58 | Makespan:   1.28 | LoadBalance: 0.989 | Success: 1.00 | Duration: 0.48s
[2025-07-25 19:24:00] Episode   94 | Reward:   237.69 | Makespan:   1.62 | LoadBalance: 1.046 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:24:00] Episode   95 | Reward:   136.76 | Makespan:   1.52 | LoadBalance: 0.998 | Success: 1.00 | Duration: 0.48s
[2025-07-25 19:24:01] Episode   96 | Reward:   138.94 | Makespan:   1.16 | LoadBalance: 1.000 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:24:01] Episode   97 | Reward:   181.61 | Makespan:   1.43 | LoadBalance: 1.056 | Success: 1.00 | Duration: 0.51s
[2025-07-25 19:24:02] Episode   98 | Reward:   176.89 | Makespan:   0.89 | LoadBalance: 1.049 | Success: 1.00 | Duration: 0.54s
[2025-07-25 19:24:03] Episode   99 | Reward:   197.54 | Makespan:   1.48 | LoadBalance: 1.061 | Success: 1.00 | Duration: 0.61s
[2025-07-25 19:24:03] Episode  100 | Reward:   209.65 | Makespan:   1.09 | LoadBalance: 1.043 | Success: 1.00 | Duration: 0.51s
