[2025-07-25 12:24:17] Episode   70 | Reward:   686.63 | Makespan:   1.92 | LoadBalance: 0.465 | Duration: 1.14s
[2025-07-25 12:24:23] Episode   71 | Reward:   723.18 | Makespan:   2.14 | LoadBalance: 0.488 | Duration: 1.19s
[2025-07-25 12:24:24] Episode   72 | Reward:   801.77 | Makespan:   2.85 | LoadBalance: 0.502 | Duration: 1.25s
[2025-07-25 12:24:29] Episode   73 | Reward:   636.84 | Makespan:   2.04 | LoadBalance: 0.487 | Duration: 1.09s
[2025-07-25 12:24:30] Episode   74 | Reward:   661.95 | Makespan:   1.72 | LoadBalance: 0.490 | Duration: 1.10s
[2025-07-25 12:24:35] Episode   75 | Reward:   632.33 | Makespan:   1.82 | LoadBalance: 0.477 | Duration: 1.09s
[2025-07-25 12:24:37] Episode   76 | Reward:   761.88 | Makespan:   2.20 | LoadBalance: 0.518 | Duration: 1.23s
[2025-07-25 12:24:42] Episode   77 | Reward:   616.72 | Makespan:   1.81 | LoadBalance: 0.494 | Duration: 1.04s
[2025-07-25 12:24:43] Episode   78 | Reward:   598.56 | Makespan:   1.78 | LoadBalance: 0.458 | Duration: 1.01s
[2025-07-25 12:24:48] Episode   79 | Reward:   764.92 | Makespan:   2.26 | LoadBalance: 0.497 | Duration: 1.21s
[2025-07-25 12:24:50] Episode   80 | Reward:   696.71 | Makespan:   1.94 | LoadBalance: 0.489 | Duration: 1.13s
[2025-07-25 12:24:55] Episode   81 | Reward:   692.26 | Makespan:   1.96 | LoadBalance: 0.493 | Duration: 1.16s
[2025-07-25 12:24:56] Episode   82 | Reward:   798.09 | Makespan:   2.44 | LoadBalance: 0.503 | Duration: 1.24s
[2025-07-25 12:25:01] Episode   83 | Reward:   612.85 | Makespan:   1.62 | LoadBalance: 0.487 | Duration: 1.03s
[2025-07-25 12:25:02] Episode   84 | Reward:   741.50 | Makespan:   1.95 | LoadBalance: 0.456 | Duration: 1.19s
[2025-07-25 12:25:08] Episode   85 | Reward:   758.34 | Makespan:   2.60 | LoadBalance: 0.508 | Duration: 1.23s
[2025-07-25 12:25:09] Episode   86 | Reward:   670.05 | Makespan:   1.71 | LoadBalance: 0.462 | Duration: 1.08s
[2025-07-25 12:25:14] Episode   87 | Reward:   563.92 | Makespan:   1.66 | LoadBalance: 0.440 | Duration: 0.99s
[2025-07-25 12:25:15] Episode   88 | Reward:   762.50 | Makespan:   1.98 | LoadBalance: 0.458 | Duration: 1.20s
[2025-07-25 12:25:20] Episode   89 | Reward:   807.45 | Makespan:   2.26 | LoadBalance: 0.527 | Duration: 1.25s
[2025-07-25 12:25:21] Episode   90 | Reward:   709.46 | Makespan:   2.54 | LoadBalance: 0.464 | Duration: 1.17s
[2025-07-25 12:25:26] Episode   91 | Reward:   696.07 | Makespan:   2.01 | LoadBalance: 0.477 | Duration: 1.15s
[2025-07-25 12:25:28] Episode   92 | Reward:   741.83 | Makespan:   2.19 | LoadBalance: 0.492 | Duration: 1.19s
[2025-07-25 12:25:33] Episode   93 | Reward:   766.31 | Makespan:   1.98 | LoadBalance: 0.515 | Duration: 1.18s
[2025-07-25 12:25:34] Episode   94 | Reward:   736.24 | Makespan:   2.30 | LoadBalance: 0.476 | Duration: 1.20s
[2025-07-25 12:25:40] Episode   95 | Reward:   814.39 | Makespan:   1.82 | LoadBalance: 0.508 | Duration: 1.25s
[2025-07-25 12:25:41] Episode   96 | Reward:   662.94 | Makespan:   2.02 | LoadBalance: 0.497 | Duration: 1.12s
[2025-07-25 12:25:46] Episode   97 | Reward:   607.62 | Makespan:   1.96 | LoadBalance: 0.493 | Duration: 1.10s
[2025-07-25 12:25:47] Episode   98 | Reward:   789.10 | Makespan:   2.44 | LoadBalance: 0.484 | Duration: 1.28s
[2025-07-25 12:25:53] Episode   99 | Reward:   694.54 | Makespan:   1.98 | LoadBalance: 0.478 | Duration: 1.16s
[2025-07-25 12:25:54] Episode  100 | Reward:   697.11 | Makespan:   1.95 | LoadBalance: 0.487 | Duration: 1.12s
